,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
48,Software Engineer -  UAE,Yeah! Global,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Entry Level,,Quality,Computer Science Software Development Software Engineering Engineering Computer Engineering Software,23 days ago
49,R&D Engineer III,Rewaa,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Entry Level,,IT/Software Development,Science Engineering Information Technology (IT) Computer Science Research Pharmacy,1 day ago
50,Python Developer,TradeTracker.com,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Experienced,,IT/Software Development,Information Technology (IT) Computer Science Software Development Software Engineering javaScript HTML,27 days ago
51,Senior Data Engineer,Malaa Technologies,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,,Engineering - Telecom/Technology,Information Technology (IT) Computer Science Software Engineering Software Development Computer Engineering Mechanical Engineering,16 days ago
52,Senior Data Engineer,NICE ONE | نايس ون,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,,Engineering - Telecom/Technology,Information Technology (IT) Computer Science Software Engineering Software Development Computer Engineering Mechanical Engineering,16 days ago
53,Observability Tech Lead,Expleo Group,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Experienced,,Operations/Management,Computer Science Software Development javaScript Agile Engineering PHP,26 days ago
54,Web Developer (WordPress),Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait ,Full Time,On-site,Entry Level,,IT/Software Development,Computer Science Web Development Software Development javaScript Software Engineering CSS,20 days ago
55,Web Developer (WordPress),Voli_Agency _LLC,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Entry Level,,IT/Software Development,Computer Science Web Development Software Development javaScript Software Engineering CSS,22 days ago
56,Distribution Supervisor,"Jotun Middle East, India and Africa (MEIA)",Not mentioned,Makkah,Saudi Arabia ,Full Time,On-site,Entry Level,,Operations/Management,Sales Skills Sales Target Logistics Sales Customer Service FMCG,24 days ago
57,Government Relations/Administrator- Level 1 - Saudi Arabia,Amentum,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Entry Level,,IT/Software Development,microsoft office information technology (it) computer science english management personnel,8 days ago
58,CME - Client Services Specialist,Canon EMEA,Not mentioned,Doha,Qatar ,Full Time,On-site,Entry Level,,Medical/Healthcare,healthcare medical biotechnology management sales,22 days ago
59,Cyber Security Specialist,EBR Consulting,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,,Sales/Retail,Computer Science Computer Engineering Engineering Security Information Security Telecommunication,26 days ago
60,Associate Director - Analytics and Modelling,Moody's Corporation,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Manager,,Engineering - Construction/Civil/Architecture,Management Quality Control Project Management Architecture CPD Civil Engineering,15 days ago
61,Data Engineer Specialist,MSD GCC,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,,IT/Software Development,Administration Microsoft Office Information Technology (IT) Computer Science Engineering Admin,16 days ago
62,Senior Data Science Analyst,Qatar Airways,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Entry Level,,Analyst/Research,Computer Science Data Analysis Microsoft Office Analysis Python SQL,22 days ago
63,Guest Contact Coordinator,"The Lana, Dubai",Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,,Hospitality/Hotels/Food Services,Customer Care Customer Support Guest Relations Administration Computer Computer Skills,11 days ago
64,Pre-Sales Engineer (Systems Engineer) - Turkey,Qumulo,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Entry Level,,Engineering - Telecom/Technology,Sales Skills Engineering Sales Target Electrical Engineering Mechanical Engineering Customer Service,23 days ago
65,"Data Tech Lead, UAE",Jobs via eFinancialCareers,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,,Marketing/PR/Advertising,computer science sales marketing software development management sql,18 days ago
66,QNB2924-Senior Associate Retail Loans (Qatarization),QNB Group,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,,Banking,banking banks bank qatari,30 days ago
